# AWS EC2 instance-type catalogue — node capacity source for synthkit.
# captured: ec2-instance-selector -o table-wide --max-results 5000 (tool v3.1.3) on 2026-06-14
# columns: instance_type,vcpu,mem_gib,arch,network,enis,ipv4_per_eni
i7i.16xlarge,64,512,x86_64,Up to 37.5 Gigabit,15,50
i7i.24xlarge,96,768,x86_64,Up to 56.25 Gigabit,15,50
i7i.2xlarge,8,64,x86_64,Up to 12 Gigabit,4,15
i7i.48xlarge,192,"1,536",x86_64,Up to 100 Gigabit,15,50
i7i.4xlarge,16,128,x86_64,Up to 25 Gigabit,8,30
i7i.8xlarge,32,256,x86_64,Up to 25 Gigabit,8,30
i7i.large,2,16,x86_64,Up to 10 Gigabit,3,10
i7i.metal-24xl,96,768,x86_64,Up to 56.25 Gigabit,15,50
i7i.metal-48xl,192,"1,536",x86_64,Up to 100 Gigabit,15,50
i7i.xlarge,4,32,x86_64,Up to 10 Gigabit,4,15
i7ie.12xlarge,48,384,x86_64,Up to 50 Gigabit,8,50
i7ie.18xlarge,72,576,x86_64,Up to 75 Gigabit,15,50
i7ie.24xlarge,96,768,x86_64,Up to 100 Gigabit,15,50
i7ie.2xlarge,8,64,x86_64,Up to 25 Gigabit,4,15
i7ie.3xlarge,12,96,x86_64,Up to 25 Gigabit,4,15
i7ie.48xlarge,192,"1,536",x86_64,100 Gigabit,15,50
i7ie.6xlarge,24,192,x86_64,Up to 25 Gigabit,8,30
i7ie.large,2,16,x86_64,Up to 25 Gigabit,3,10
i7ie.metal-24xl,96,768,x86_64,Up to 100 Gigabit,15,50
i7ie.metal-48xl,192,"1,536",x86_64,100 Gigabit,15,50
i7ie.xlarge,4,32,x86_64,Up to 25 Gigabit,4,15
i8g.12xlarge,48,384,arm64,Up to 28.12 Gigabit,8,30
i8g.16xlarge,64,512,arm64,Up to 37.5 Gigabit,15,50
i8g.24xlarge,96,768,arm64,Up to 56.25 Gigabit,15,50
i8g.2xlarge,8,64,arm64,Up to 12 Gigabit,4,15
i8g.48xlarge,192,"1,536",arm64,Up to 100 Gigabit,15,50
i8g.4xlarge,16,128,arm64,Up to 25 Gigabit,8,30
i8g.8xlarge,32,256,arm64,Up to 25 Gigabit,8,30
i8g.large,2,16,arm64,Up to 10 Gigabit,3,10
i8g.metal-24xl,96,768,arm64,Up to 56.25 Gigabit,15,50
i8g.metal-48xl,192,"1,536",arm64,Up to 100 Gigabit,15,50
i8g.xlarge,4,32,arm64,Up to 10 Gigabit,4,15
i8ge.12xlarge,48,384,arm64,75 Gigabit,12,30
i8ge.18xlarge,72,576,arm64,112.5 Gigabit,16,50
i8ge.24xlarge,96,768,arm64,150 Gigabit,16,50
i8ge.2xlarge,8,64,arm64,Up to 25 Gigabit,4,15
i8ge.3xlarge,12,96,arm64,Up to 25 Gigabit,6,30
i8ge.48xlarge,192,"1,536",arm64,300 Gigabit,24,50
i8ge.6xlarge,24,192,arm64,37.5 Gigabit,10,30
i8ge.large,2,16,arm64,Up to 25 Gigabit,3,10
i8ge.metal-24xl,96,768,arm64,150 Gigabit,16,50
i8ge.metal-48xl,192,"1,536",arm64,300 Gigabit,24,50
i8ge.xlarge,4,32,arm64,Up to 25 Gigabit,4,15
im4gn.16xlarge,64,256,arm64,100 Gigabit,15,50
im4gn.2xlarge,8,32,arm64,Up to 25 Gigabit,4,15
im4gn.4xlarge,16,64,arm64,25 Gigabit,8,30
im4gn.8xlarge,32,128,arm64,50 Gigabit,8,30
im4gn.large,2,8,arm64,Up to 25 Gigabit,3,10
im4gn.xlarge,4,16,arm64,Up to 25 Gigabit,4,15
inf1.24xlarge,96,192,x86_64,100 Gigabit,11,30
inf1.2xlarge,8,16,x86_64,Up to 25 Gigabit,4,10
inf1.6xlarge,24,48,x86_64,25 Gigabit,8,30
inf1.xlarge,4,8,x86_64,Up to 25 Gigabit,4,10
inf2.24xlarge,96,384,x86_64,50 Gigabit,15,50
inf2.48xlarge,192,768,x86_64,100 Gigabit,15,50
inf2.8xlarge,32,128,x86_64,Up to 25 Gigabit,8,30
inf2.xlarge,4,16,x86_64,Up to 15 Gigabit,4,15
is4gen.2xlarge,8,48,arm64,Up to 25 Gigabit,4,15
is4gen.4xlarge,16,96,arm64,25 Gigabit,8,30
is4gen.8xlarge,32,192,arm64,50 Gigabit,8,30
is4gen.large,2,12,arm64,Up to 25 Gigabit,3,10
is4gen.medium,1,6,arm64,Up to 25 Gigabit,2,4
is4gen.xlarge,4,24,arm64,Up to 25 Gigabit,4,15
m1.large,2,7.5,x86_64,Moderate,3,10
m1.medium,1,3.69922,"i386, x86_64",Moderate,2,6
m1.small,1,1.69922,"i386, x86_64",Low,2,4
m1.xlarge,4,15,x86_64,High,4,15
m2.2xlarge,4,34.19922,x86_64,Moderate,4,30
m2.4xlarge,8,68.39941,x86_64,High,8,30
m2.xlarge,2,17.09961,x86_64,Moderate,4,15
m3.2xlarge,8,30,x86_64,High,4,30
m3.large,2,7.5,x86_64,Moderate,3,10
m3.medium,1,3.75,x86_64,Moderate,2,6
m3.xlarge,4,15,x86_64,High,4,15
m4.10xlarge,40,160,x86_64,10 Gigabit,8,30
m4.16xlarge,64,256,x86_64,25 Gigabit,8,30
m4.2xlarge,8,32,x86_64,High,4,15
m4.4xlarge,16,64,x86_64,High,8,30
m4.large,2,8,x86_64,Moderate,2,10
m4.xlarge,4,16,x86_64,High,4,15
m5.12xlarge,48,192,x86_64,12 Gigabit,8,30
m5.16xlarge,64,256,x86_64,20 Gigabit,15,50
